Sample_ID,Year,Crop_Type,Yield_t_ha,Residue_to_Product_Ratio,Residue_Quantity_t,Regional_Adjustment,Moisture_%,Calorific_Value_MJ_kg,Predicted_Energy_MJ
0,2022,Wheat,3.117,1.622,5.1266,1.014,19.13,17.346,71914.46
1,2020,Maize,3.198,2.257,7.4416,1.031,22.96,17.137,98246.57
2,2020,Sugarcane,81.318,0.344,25.9034,0.926,46.97,20.924,287424.05
3,2022,Cotton,0.534,6.1,3.518,1.08,25.03,17.515,46194.84
4,2022,Maize,3.326,2.432,7.9513,0.983,26.5,17.412,101759.31
5,2023,Sugarcane,80.352,0.359,28.7887,0.998,56.22,19.635,247473.51
6,2022,Wheat,3.161,1.64,5.381,1.038,18.83,17.975,78510.44
7,2024,Wheat,3.456,1.741,5.686,0.945,19.9,16.97,77289.63
8,2023,Maize,3.367,2.311,7.1275,0.916,23.59,16.474,89719.43
9,2023,Rice,3.595,1.66,6.278,1.052,17.7,14.409,74448.33
10,2021,Cotton,0.448,5.906,2.4818,0.938,33.33,18.46,30544.21
11,2020,Maize,3.262,2.299,7.9493,1.06,21.45,17.344,108298.97
12,2023,Wheat,3.595,1.578,5.9452,1.048,18.17,17.731,86260.56
13,2021,Cotton,0.428,6.082,2.5068,0.963,18.66,18.279,37271.45
14,2020,Sugarcane,79.858,0.347,28.8469,1.041,47.53,18.561,280938.71
15,2021,Rice,3.581,1.866,6.0407,0.904,16.33,14.419,72877.28
16,2020,Wheat,3.058,1.695,5.458,1.053,20.16,16.518,71979.95
17,2021,Maize,3.038,2.458,7.6018,1.018,25.39,16.672,94558.63
18,2023,Maize,3.577,2.313,8.0502,0.973,21.95,16.232,101988.6
19,2023,Wheat,3.289,1.762,5.4591,0.942,16.01,16.999,77942.08
20,2022,Rice,4.046,1.719,6.9968,1.006,15.37,,92835.58
21,2021,Maize,3.173,2.272,7.1298,0.989,20.17,16.477,93782.46
22,2020,Wheat,3.201,1.651,5.6865,1.076,21.32,17.109,76548.03
23,2020,Rice,3.41,1.772,5.6739,0.939,18.69,16.302,75208.43
24,2022,Maize,3.148,2.48,7.1669,0.918,,16.016,86065.85
25,2020,Wheat,3.054,1.694,5.3908,1.042,20.44,17.57,75356.33
26,2024,Maize,3.148,2.277,7.2899,1.017,16.65,16.808,102127.62
27,2023,Rice,4.086,1.72,6.8874,0.98,23.66,15.805,83100.18
28,2021,Cotton,0.522,5.805,2.8939,0.955,23.97,17.815,39197.14
29,2023,Wheat,3.511,1.678,5.5203,0.937,18.03,17.033,77074.15
30,2021,Wheat,3.033,1.718,5.4139,1.039,18.12,16.466,72992.15
31,2022,Rice,3.591,1.691,6.4307,1.059,18.33,14.978,78663.75
32,2024,Maize,3.327,2.383,7.5715,0.955,21.34,,99484.71
33,2024,Cotton,0.523,5.838,2.8792,0.943,26.16,18.694,39743.47
34,2022,Sugarcane,80.582,0.355,30.6949,1.073,49.98,,342231.5
35,2023,Wheat,3.719,1.621,5.8898,0.977,17.81,16.687,80778.87
36,2023,Sugarcane,85.607,0.365,34.1212,1.092,58.52,19.152,271067.33
37,2022,Sugarcane,79.955,0.347,29.6865,1.07,56.52,20.558,265356.3
38,2023,Sugarcane,82.073,0.363,31.878,1.07,51.87,21.332,327294.35
39,2024,Wheat,3.5,1.665,6.3054,1.082,17.05,17.537,91724.28
40,2020,Cotton,0.516,5.966,2.9707,0.965,,18.233,38316.16
41,2023,Rice,3.7,1.726,6.5714,1.029,25.21,15.849,77893.87
42,2022,Sugarcane,84.446,0.338,31.1687,1.092,,18.865,258248.51
43,2021,Sugarcane,76.134,0.344,25.9806,0.992,49.26,21.25,280129.32
44,2022,Maize,3.591,2.402,7.763,0.9,20.34,17.064,105523.87
45,2020,Maize,3.101,2.233,6.9315,1.001,,17.043,91199.1
46,2024,Wheat,3.457,1.585,5.4793,1,17.36,17.727,80269.51
47,2024,Rice,3.789,1.771,6.3815,0.951,19.26,14.929,76920.52
48,2024,Cotton,0.434,6.228,2.5056,0.927,28.36,17.746,31854.28
49,2021,Cotton,0.498,5.932,2.9069,0.984,25.16,17.711,38530.7
50,2020,Sugarcane,79.371,0.35,27.9743,1.007,49.22,19.17,272316.55
51,2022,Maize,2.968,2.396,6.9122,0.972,19.64,17.15,95262.14
52,2023,Maize,3.487,2.33,7.8566,0.967,16.02,17.012,112244.71
